12.08.2013                                                                                                                                                                                                                                                                                                                                                                                               Dynamický výstup seznamu                                                                                                                                                                                                                                                                                                                                                                                                      1;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Tabelle KNB1 - Kmen.soub.zákaz.(úè.okruh);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;Klient;SAP è.;Název;Ulice;Mìsto;PSÈ;Fax;Internet;Odl.úè.pl.;PlatPodDob;Èinnost;Rozdìlení;KlíèOpráv;StPotvÚèOk;Dat.potvr.;ÈasPotvr;Bl.výmazu;Telefon;Znak cese;StZdDanì;Exekuce
;100;301881;MOTOR JIKOV Tlakova slevarna a. s.;Knezskodvorska 2277/26;Ceske Budejovice 4;370 04;;;;;;;;;;0:00:00;;;;;
;100;301882;TKW Molding GmbH;Waldecker Str. 10;Blankenhain;99444;;info@tkw-net.de;;;;;;;;0:00:00;;;;;
;100;301887;Continental Automotive;Parque Industrial y de, Las Colina;Silao, Gto;36270;;Francisco.Duarte@continental-corporation.com;;;;;;;;0:00:00;;0052(472)722-...;;;
;100;301917;Hoza BV;Haven Noordzijde 18;Scheemda;9679 TC;;;;;;;;;;0:00:00;;;;;
;100;308918;KEFICO Corporation;Dangjeong-Dong410;Gunpo-Si, Gyeonggi-Do;435716;;YoungChan.Kim@kefico.co.kr;;;;;;;;0:00:00;;;;;
;100;305671;KEFICO Corporation;410 Dangjung-dong;Gunpo-si Gyeonggi-do;435-716;;KiSuk.Park@kefico.co.kr;;;;;;;;0:00:00;;;;;
;100;309747;AZ Ausrüstung und Zubehör;Ruhrallee 1-3;Hattingen;45525;;;;;;;;;;0:00:00;;;;;
;100;310755;Tomal-S Proizvodnja Trzenje Inziner;Stara cesta 20;Semic;8333;;;;;;;;;;0:00:00;;;;;
;100;309467;DATWYLER SEALING TECHNOLOGIES;Ave Paseo de las Colinas 602;Silao, Guanajuato;36270;;;;;;;;;;0:00:00;;;;;
;100;308967;Martur;Isiktepe Mahallesi Kahverengi CAD.;Nilufer Bursa;16140;;;;;;;;;;0:00:00;;;;;
;100;8471;TRW Occupant Restraints;Corner Charel Uys & Neil Hare Stree;Atlantis, Cape Town;7349;;;;;;;;;;0:00:00;;;;;
;100;308234;Valeo Syst?mes de Contrôle Moteur;Route de Montreuil;Etaples-sur-Mer;62630;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;1554;Kiekert AG;Kettwiger Str. 12 - 24;Heiligenhaus;42579;205615975;Angelika.Scholl@Kiekert.de;;;;;;;;0:00:00;;02056-15-962;;;
;100;2085;Miele & Cie. KG;Roitzheimer Str. 110;Euskirchen;53879;5,2419E+11;;;;;;;;;0:00:00;;524189-1881;;;
;100;309894;Schiele GmbH;Industriestrasse 37;Schwaigern;74193;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;5702;KERN-LIEBERS KNITTING PARTS GMBH;Dr. Kurt-Steim-Str. 35;Schramberg;78713;;stefanie.beck@kern-liebers.de;;;;;;;;0:00:00;;;;;
;100;1551;Flexi Montagetechnik GmbH & Co. KG;Carl-Benz-Weg 13;Bargteheide;22941;4532404442;hartwig@flexi.de;;;;;;;;0:00:00;;04532/4044-57;;;
;100;2118;Autoliv Protektor GmbH;Wesloer Str. 112 - Gebäude 206;Lübeck;23568;4516198030;;;;;;;;;0:00:00;;0451/619-800;;;
;100;5703;Hugo Kern und Liebers GmbH & Co. KG;Dr. Kurt-Steim-Str. 35;Schramberg;78713;;stefanie.beck@kern-liebers.de;;;;;;;;0:00:00;;;;;
;100;5706;Kurt Meder GmbH;Weidenstrasse 4;VS-Schwenningen;78054;77208316746;Claudia.Mayadag@federmeder.de;;;;;;;;0:00:00;;07720-8316-46;;;
;100;5709;J.N. Eberle Federnfabrik;Hochfeldstr. 6 - 8;Schwabmünchen;86830;;Irma.Straub@kern-liebers.de;;;;;;;;0:00:00;;;;;
;100;1674;J.D. von Hagen GmbH;Stefanstrasse 20;Iserlohn;58638;;;;;;;;;;0:00:00;;;;;
;100;7922;ETA  a.s.;Policska 444;Hlinsko;539 01;469802118;brozek@eta.cz;;;;;;;;0:00:00;;4698021-32;;;
;100;7998;Autoliv Hirotako Safety Sdn. Bhd.;Jalan Balakong;Seri Kembangan, Selangor Darul Ehsa;43300;;;;;;;;;;0:00:00;;;;;
;100;8755;Shanghai TRW Automotive;168 Yuan Yao Road;Shanghai;201805;;;;;;;;;;0:00:00;;;;;
;100;8761;Autoliv do Brasil Ltda.;Av. Roberto Bertoletti  551;Taubaté - SP;12042-045;;;;;;;;;;0:00:00;;;;;
;100;8206;Mano-Term AB;Landskronavaegen 30;Helsingborg;252 32;;;;;;;;;;0:00:00;;;;;
;100;8280;Zurfluh Feller S.A.;Grande Rue;Roide;25700;381993365;bbattel@zurfluh-feller.com;;;;;;;;0:00:00;;381/9933-05;;;
;100;8302;Oezguer Estelasyon;Ekrem Elginkan Cad. 8;Manisa;45030;2328771107;bahri.bezenk@ozgurkomponent.com;;;;;;;;0:00:00;;23287711-00;;;
;100;8816;A-Belt-Lin Industrial Co., Ltd.;No. 63 Ping An Rd., An Si Village;Chang Hua City;504;647621400;;;;;;;;;0:00:00;;;;;
;100;8838;UNGUELTIG;Ul. Partyzantow 4;Myszkow;42300;;dorota.legowska@onet.pl;;;;;;;;0:00:00;X;;;;
;100;8841;Autoliv Kft;Ujmajor;Sopronkövesd;9483;;;;;;;;;;0:00:00;;;;;
;100;6509;Klippan Safety AB;Fabriksvägen 4;Klippan;264 21;;;;;;;;;;0:00:00;;;;;
;100;6512;Antonio Augusto Nunes Maia Lda;Rua Saima Sangalhos Saima;SANGALHOS, AVEIRO;3780-102;;;;;;;;;;0:00:00;;;;;
;100;8329;Olympia De Mexico,S.A.De C.V.;Presa Salinillas 370 Piso 6;Mexico;11200;58567537213;ctasxpagar@olympia.com.mx;;;;;;;;0:00:00;;5855-1106;;;
;100;6628;Fimex Messgeraetebau A.G.;Hauptstrasse 5;Kaltenbach;8259;;;;;;;;;;0:00:00;;;;;
;100;573002;Kern-Liebers (Taicang) Co. Ltd.;88 Nanjing Road;Taicang;215400;;david.cao@kern-liebers.com.cn;;;;;;;;0:00:00;;;;;
;100;573003;Kern-Liebers Pieron Autoparts;88 Nanjing Road;Taicang;215400;;linda.ge@kern-liebers.com.cn;;;;;;;;0:00:00;;;;;
;100;575050;Resortes KL de Mexico SA. de CV;Ave. Francisco I. Madero 907;Rio Bravo;88940;;;;;;;;;;0:00:00;;;;;
;100;575051;Kern Liebers Mexico SA de CV;Av. El Tepeyac 11080;El Márques;76250;;miguel.garcia@kern-liebers.com.mx;;;;;;;;0:00:00;;;;;
;100;573005;Kern-Liebers (Guangzhou);No. 7 Guanda Road, Yunpu Industrial;Guangzhou;510530;2082068059;david.cao@kern-liebers.com.cn;;;;;;;;0:00:00;;2082068070;;;
;100;573006;Taicang Wälzholz-Kern-Liebers N.M C;Jinzhou Road;Taicang;215400;;;;;;;;;;0:00:00;;;;;
;100;575053;Formatecnica SA. de CV;Ind. Electrica de México 11;Tlalnepantla;54080;;miguel.garcia@kern-liebers.com.mx;;;;;;;;0:00:00;;;;;
;100;575060;frei;Circuito El Marques Norte No 23-B;Queretaro;76246;;;;;;;;;;0:00:00;;;;;
;100;573004;D-Metal (Tianjin) Precision Parts;69 Beichen Hi-Tech Industrial Park;Tianjin;300402;;david.cao@kern-liebers.com.cn;;;;;;;;0:00:00;;;;;
;100;579999;Not realised exchange Rate diff. -;0;Ceske Budejovice;0;;;;;;;;;;0:00:00;;;;;
;100;573012;Saxonia Malaysia SDN BHD;Jalan Seruling 57, Taman Klang Jaya;Klang;41200;333236952;voon@saxonia.com.my;;;;;;;;0:00:00;;;;;
;100;573022;Taicang Kern-Liebers Textile Co. Lt;Jinzhou Road 18;Taicang;215400;;david.cao@kern-liebers.com.cn;;;;;;;;0:00:00;;;;;
;100;573023;Saxonia Knitting Parts Asia Ltd.;Room 1906, 19/F, 69 Jervois Street;Sheung Wan, HONG KONG;0;225251571;pauline.wong@saxonia.com.hk;;;;;;;;0:00:00;;;;;
;100;573063;Kern-Liebers Korea Ltd.;126-6, Sangan-ri, Seosin-myeon;Hwaseong-si, Gyunggi-do;445-881;;kern1@chollian.net;;;;;;;;0:00:00;;;;;
;100;573073;Kern-Liebers (Thailand) Co., Ltd.;Amper Muang;Rayong;21150;;accounting@kern-liebers.co.th;;;;;;;;0:00:00;;;;;
;100;573053;Kern-Liebers K.K.;Kasayama1-9-24;Kusatsu-shi, Shiga;525-0072;;admin1@kern-liebers.co.jp;;;;;;;;0:00:00;;;;;
;100;308747;Continental Automotive;38 km Stone, Delhi - Jaipur Highway;GURGAON Haryana;122001;;Nilesh.Singh@continental-corporation.com;;;;;;;;0:00:00;;;;;
;100;309477;JUNGHEINRICH CR s.r.o.;Modletice 101;Ricany;251 01;;;;;;;;;;0:00:00;;;;;
;100;308520;LOBO B.V.;Loobeekweg 8;Holthees;5824 AE;;;;;;;;;;0:00:00;;;;;
;100;309626;Robert Bosch LLC;0;Farmington Hills;48333;;rbna.accountspayable@us.bosch.com;;;;;;;;0:00:00;;;;;
;100;309459;CZ a.s.;Tovarni 202;Strakonice;386 15;;monika.kucerova@czas.cz;;;;;;;;0:00:00;;;;;
;100;309505;Raben Logistics Czech a.s.;Na Dlouhem 85;Ricany;251 01;4,2039E+11;eva.uhlirova@kern-liebers.cz;;;;;;;;0:00:00;;4,2039E+11;;;
;100;309734;Glen Dimplex Deutschland GmbH;Am Goldenen Feld 18;Kulmbach;95326;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;309531;CZ a.s.;Slunecni namesti 2540/5;Praha 5;158 00;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;309533;Autoliv Romania S.R.L;Bruxelles Street, no. 16;Prejmer (Brasov County);507165;;;;;;;;;;0:00:00;;;;;
;100;55566;Autoliv Japan Ltd.;Kamiinayoshi1764-12;Kasumigaura-shi;3158520;466436242;akemi.suzuki@autoliv.com;;;;;;;;0:00:00;;466/43-6001;;;
;100;308722;Solva Import KG;Handwerkerzone 29;Kaltern BZ;39052;;;;;;;;;;0:00:00;;;;;
;100;1700;Robert Bosch Fahrzeugelektrik; Postfach 10 13 47;Eisenach;99803;;Silvio.Ballaschk@de.bosch.com;;;;;;;;0:00:00;;;;;
;100;308965;MCF S.r.l.;Via Pinerolo 75;Pancalieri;10060;;audisio@mcfsrl.com;;;;;;;;0:00:00;;;;;
;100;1417;Thomas Magnete GmbH;San Fernando 35;Herdorf;57562;;karin.mueller@thomas-magnete.com;;;;;;;;0:00:00;;;;;
;100;308966;VELM s.r.l.;Via Maria Grazia Deledda 18/A;Agrate Brianza;20864;;accounting@velm.com;;;;;;;;0:00:00;;;;;
;100;308128;Wienerberger euroform, spol. s r.o.;Plachého 388/28;Ceske Budejovice;370 46;;;;;;;;;;0:00:00;;;;;
;100;1438;Volkswagen AG;.;Baunatal;34219;;lieferantenreklamationen.voq@volkswagen.de;;;;;;;;0:00:00;;;;;
;100;307702;Franz Kiel GmbH & Co. KG;Nürnberger Str. 62;Nördlingen;86720;;;;;;;;;;0:00:00;;;;;
;100;307601;Fasching Components  GmbH;Hellbrunner Straße 11;Salzburg;5020;;;;;;;;;;0:00:00;;;;;
;100;307623;MAGNETI MARELLI;B-23 Chakan Industrial Area;Pune (Maharashtra);410501;;bhushan.more@magnetimarelli.com;;;;;;;;0:00:00;;;;;
;100;16296;Van de Sandt;Liebauweg 32;Bocholt;46395;;vdsbo.de@t-online.de (Arno);;;;;;;;0:00:00;;;;;
;100;309932;Valeo Compressor Changchun;2677 Shiji Avenue Economy & Technol;Changchun;130033;;yan-kitty.zhou.ext@valeo.com;;;;;;;;0:00:00;;;;;
;100;1726;BOS GmbH & Co. KG;Ernst-Heinkel-Strasse 2;Ostfildern;73760;71193601347;;;;;;;;;0:00:00;;07119360-1106;;;
;100;304090;Robert Bosch GmbH;Otto-von-Guericke-Straße 13;Magdeburg;39104;;;;;;;;;;0:00:00;;;;;
;100;305657;Langeveld Kunststoffen B.V.;Latensteinseweg 11C;Tiel (Gld.);4005 EG;344631476;;;;;;;;;0:00:00;;;;;
;100;572015;Spirel Lda.;Rua das Conchas s/n;Milheirós - Maia;4475-333;;;;;;;;;;0:00:00;;;;;
;100;305171;WECO - Weber & Co GmbH KG;Industriestrasse 59;Velbert;42551;2051259319;B.Geisler@weco-velbert.de;;;;;;;;0:00:00;;;;;
;100;305720;CENTES, spol. s.r.o.;Rosickeho 30;Ceske Budejovice;370 05;;;;;;;;;;0:00:00;;;;;
;100;572016;Haas Präzision AG;Quellenstraße 10;Rheinfelden;4310;;;;;;;;;;0:00:00;;;;;
;100;572017;Mobilwerte-Verwaltungs AG;Quellenstraße 10;Rheinfelden;4310;;;;;;;;;;0:00:00;;;;;
;100;305159;BOS Automotive Systems;288 Shanghai Road;Taicang, Jiangsu;215400;;wftao@bos.de;;;;;;;;0:00:00;;;;;
;100;108055;SISTEMI SOSPENSIONI SPA;C.SO FERRUCCI 112;TORINO;85025;972250237;supporto.fornitori@fiatgesco.it;;;;;;;;0:00:00;;01100/57446;;;
;100;50449;TRW AUTOMOTIVE GMBH;Industriestrasse 20;Alfdorf;73553;;;;;;;;;;0:00:00;;;;;
;100;311959;Solea CZ vyrobni druzstvo;Rybnik 242;Ceska Trebova;560 02;;nakup@solea.cz;;;;;;;;0:00:00;;;;;
;100;312079;Brano a.s.;Opavská 1000;Hradec nad Moravici;74741;;;;;;;;;;0:00:00;;;;;
;100;100349;TRW Automotive Safety;Hefner-Alteneck-Straße 11;Aschaffenburg;63743;;;;;;;;;;0:00:00;;;;;
;100;312047;IHC Siebengebirge AG;Eduard-Rhein-Strasse 32-40;Koenigswinter;53639;4,2039E+11;;;;;;;;;0:00:00;;4,2039E+11;;;
;100;574003;Capewell (Pty.) Ltd.;6 Techno Crescent;Cape Town;7460;;kaylubbe@capewell.co.za;;;;;;;;0:00:00;;;;;
;100;573091;Kern-Liebers Pars Co. Ltd.;No.5 Africa St., Argentine Sq.;Tehran;1514947437;2188793529;H_morshedi@kl-pars.com;;;;;;;;0:00:00;;218879-2612;;;
;100;573093;Iran Fanar Lool Co. Ltd.;Africa Street, Argentine Square 5;Tehran;0;;eghbal@fanarlool.com;;;;;;;;0:00:00;;;;;
;100;575000;Kern-Liebers USA Inc, Charlotte, NC;Albon Road 1510;Holland OH;43528-0396;;ctrares@kl-usa.com;;;;;;;;0:00:00;;;;;
;100;575001;Kern-Liebers USA Inc.;1510 Albon Road;Holland OH;43528;;accounts.payable@kl-usa.com;;;;;;;;0:00:00;;;;;
;100;8332;TRW Automotive Ltda.;Rod. Anhanguera Km 147;Limeira;13486-915;;CRISTIANE.FUZETTI@TRW.COM;;;;;;;;0:00:00;;(19) 3404 1160;;;
;100;572073;Kern-Liebers Eesti OÜ;Lille 20;Vôru;65604;;igor.gorskov@kern-liebers.com;;;;;;;;0:00:00;;;;;
;100;572083;Kern-Liebers Poland SP. Z.O.O. sp.;Ul. Partyzantow 4;Myszkow;42-300;;justyna.wysocka@kern-liebers.pl;;;;;;;;0:00:00;;;;;
;100;575002;Kern-Liebers USA Textile Inc.;8100-I Arrowridge Boulvard;Charlotte;28273;;swhite@kl-usa-t.com;;;;;;;;0:00:00;;;;;
