SAP è.;Název;Ulice;Mìsto;PSÈ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419178;MILAN ROZTOCIL;nam. Miru 216;Komarov;267 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4045;ebbtec GmbH;Höhscheider Weg 31;Solingen;42699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4679;Dietrich Aldinger GmbH;Lise-Meitner-Strasse 1;Nagold;72202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
419046;DIA - PRAHA s.r.o.;K Cestlicum 185;Praha 10 - Kreslice;104 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418330;JUDr. Jitka Trestikova;Velke nam. 45;Strakonice;386 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
418357;JOSEF PAUL;Strma 683;Dobrichovice;252 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645;Maschinenfabrik Lauffer;Industriestr. 101;Horb a.N.;72160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
651;Lippert - Unipol GmbH;Eschelbronner Str. 35;Epfenbach;74925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856;Wolfgang KOHNLE Wärmebe-;Industriestrasse 27-29;Birkenfeld;75217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274;Gasthaus  Engel;.;Aichhalden-Röthenberg;78733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
874;TKW Molding GmbH;Waldecker Straße 10;Blankenhain;99444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
936;IMOTEC Montagetechnik GmbH;Fraunhoferstraße 11;Planegg-Martinsried;82152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
938;MSSL Polymers GmbH;Eutighofer Str. 144 a;Schwäbisch Gmünd;73525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
309;Gutekunst+Co. KG;Carl-Zeiss-Straße 15;Metzingen;72555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;C.D. Wälzholz  KG;Feldmühlenstraße 55;Hagen;58093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
501;DS Smith Wirth Verpackungen GmbH;Ersteiner Straße 7-9;Endingen am Kaiserstuhl;79346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;IPSEN INTERNATIONAL GmbH;Flutstraße 78;Kleve;47533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407152;CESKY ROZHLAS;Vinohradska 12;Praha 2;120 99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407153;EDMEX s.r.o.;Nam. bratri Capku 1128/1;Ceske Budejovice;370 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407154;Dr. Wieland GmbH + Co. KG;Freiburger Str. 11;Pforzheim;75120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407553;PAP OIL a.s.;Drnovska 1042/28;Praha 6;161 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407155;SETTO spedition s.r.o.;Jana Zelivskeho 1;Praha 3;130 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407156;Ing. Josef Mrazek stavebni firma;Jasanova 21;Ceske Budejovice;370 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407157;SIC-VENIM s.r.o.;Volgogradska 49;Ostrava - Zabreh;700 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407163;Hans Schoen Maschinenbau;Zum Ludwigstal 14 - 16;Hattingen;45527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407166;TAXUS International s.r.o.;Videnska 55;Brno;639 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407167;Newport Electronics, spol. s.r.o.;Frystatska 184;Karvina;733 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407168;Ceska posta, s.p.;Podebradska 39;Praha 9;190 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407169;PRECITOOL CZ s.r.o.;Zahradni 319;Velesin;382 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407170;Klippan Safety AB;Fabriksvagen 4;Klippan;26421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407171;Fasching Hungary kft;Agfalvi ut 2;Sopron;9400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407580;Matejicek ELMAT;Roudne 150;Ceske Budejovice - Roznov;370 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407581;MRU s.r.o.;Spanielova 1298/82;Praha 6 - Repy;163 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407605;Ing. Stanislav Postl;Krcinova 50;Ceske Budejovice;370 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407611;Pepperl+Fuchs s.r.o.;Pod Vodarenskou vezi 4;Praha 8;182 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407612;Four Electrique Delemont S. A.;rue Emile-Boechat 36;Delemont;2800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407617;LION stav. a obch. spol. s.r.o.;Lidicka 1274/246;Ceske Budejovice;370 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407206;HOERBIGER ZANDOV s.r.o.;Nadrazni 10;Zandov;471 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407218;Opalka s.r.o.;Poresinec 13;Kaplice 1;382 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407219;HONEYWELL spol. s.r.o.;Na Strzi 1702/65;Praha 4;140 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407224;ATAS elektromotory Nachod a.s.;Bratri Capku 722;Nachod;547 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407225;CVP s.r.o.;Nadrazni 418;Zdanice;696 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407226;GALIKA CZ, spol. s.r.o.;U Pekarny 18/687;Olomouc - Holice;779 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407646;MORAVAN-SAFETY BELTS a.s.;Letiste 1578;Otrokovice;765 81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407651;T.E.A. TECHNIK s.r.o.;Videnska 264/120b;Brno;619 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407652;VOBAU s.r.o.;Herbenova 40;Hradec Kralove 2;500 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407653;RF TECHNIK spol. s.r.o.;Mistrovska 6/226;Praha 10 - Malesice;108 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407654;Zdenek Janecek;Trocnovska 41;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407655;REXIM s.r.o.;U Pazderek 25;Praha 8;181 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406937;ROTOBLOC;2bis, rue de la Louviere. Z.I.;PIREY;25480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407262;TKB-KIPONS plus, spol. s.r.o.;Chynovska 533;Tabor;390 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407687;General Logistics Systems;Nerudova 1680;Humpolec;396 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407298;Marek Michal;Rybarska 29;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
407308;PLASTPO s.r.o.;Sviny 44;Veseli nad Luznici;391 81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408230;Weinmayr Sachsen GmbH;Buchenstr. 15a;Lichtenstein;9350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411757;UZIMEX Praha spol. s.r.o.;Na Celne 5;Praha 5;150 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411758;MITON CZ, s.r.o.;Soukenna 1;Jablonec nad Nisou;466 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411591;DIATECH s.r.o.;Podkovarska 6;Praha 9;190 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411592;ELKAS spol. s.r.o.;Kolbenova 568/29;Praha 9;198 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411471;ALCA CZ a.s.;Horelicka 334;Lodenice u Berouna;267 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411472;BIA VERDER s.r.o.;Vodnanska 651/6;Praha 9 - Kyje;198 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411349;SELOS Bohemia s.r.o.;Sumavska 416/15;Brno 2;602 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411350;TRIBON s.r.o.;Sportovni 1291;Stara Boleslav;250 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402595;Oezguer KOMPONENT Plastik Enjeksiyo;Istiklal Mah.40 Sok.No.4;Ulucak-Izmir;35170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2901;NAS GmbH & Co. KG;Bahnhofstr. 13;Steinheim/Murr;71711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411552;INTERIER SERVIS CB, spol. s.r.o.;Zizkova 3;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411759;Kosteèka Invest a.s.;Borského 1011/1;Praha 5;152 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411598;AM Cargo, spol.  s.r.o.;Karlovarska 814/111;Praha 6;161 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411599;WECO und Weber Co. GmbH KG;Industriestr. 59;Velbert;42511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411485;GERWAH, s.r.o.;Oty Kovala 1172;Dobrany;334 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411486;CARBONSMAY s.r.o.;Hradecka 275;Prelouc;535 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411600;Dätwyler Rubber;Militärstr. 7;Schattdorf;6467;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411632;Logwin Road + Rail Switzerland AG;Stammbühlstrasse 9;Thayngen;8240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411490;FSG, Fernsteuergeraete, Mess-;Muhlenweg 2-3;Kablow;15758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411986;OTTO Office  (CZ) s.r.o.;Prumyslova 390;Pardubice 2;530 90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411987;J.M.I., s.r.o.;Hudcova 78b;Brno;612 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411988;Jan Ctvrtnik;Ha Hejcarech 160;Dolni Bukovsko;373 65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411989;KOS - kulturne organizacni sdruzeni;Lannova 63;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
406731;REIDT GMBH & CO. KG;ZWEIFALLER STR. 198;STOLBERG;52224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411505;Signum  spol. s r.o.;Rudolfovska 86- Vrato;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411507;Internetovy obchod Za pusinku;Rybizova 1325;Praha 10;106 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411508;Stähli Läpp Technik AG;Sägestrasse 10;Pieterlen/Biel;2542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411553;Langeveld  Kunststoffen B.V.;Latensteinseweg 11C;Tiel (Gld.);4005 EG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
412001;ROVS - Roznovsky vzdelavaci servis;Dolni Paseky 1618;Roznov pod Radhostem;756 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
